enzyme,Entry,pathway
EC:3.2.1.1,K01176,VFA
EC:3.2.1.1,K07405,VFA
EC:3.2.1.1,K05343,VFA
EC:3.2.1.2,K01177,VFA
EC:3.2.1.3,K12047,VFA
EC:3.2.1.3,K01178,VFA
EC:3.2.1.3,K21574,VFA
EC:3.2.1.133,K05992,VFA
EC:3.2.1.133,K01208,VFA
EC:3.2.1.20,K12047,VFA
EC:3.2.1.20,K01187,VFA
EC:3.2.1.20,K12316,VFA
EC:3.2.1.20,K12317,VFA
EC:2.4.1.8,K00691,VFA
EC:2.4.1.25,K00705,VFA
EC:2.4.1.25,K22451,VFA
EC:3.2.1.4,K01179,VFA
EC:3.2.1.4,K19357,VFA
EC:3.2.1.91,K01225,VFA
EC:3.2.1.91,K19668,VFA
EC:3.2.1.21,K01188,VFA
EC:3.2.1.21,K05349,VFA
EC:3.2.1.21,K05350,VFA
EC:2.4.1.20,K00702,VFA
EC:2.7.1.40,K00873,VFA
EC:2.7.1.40,K12406,VFA
EC:4.1.1.31,K01595,VFA
EC:6.4.1.1,K01958,VFA
EC:6.4.1.1,K01959,VFA
EC:6.4.1.1,K01960,VFA
EC:1.2.7.1,K00169,VFA
EC:1.2.7.1,K00170,VFA
EC:1.2.7.1,K00171,VFA
EC:1.2.7.1,K00172,VFA
EC:1.2.7.1,K00189,VFA
EC:1.2.7.1,K03737,VFA
EC:2.3.1.8,K00625,VFA
EC:2.3.1.8,K13788,VFA
EC:2.3.1.8,K15024,VFA
EC:2.7.2.1,K00925,VFA
EC:3.6.1.7,K01512,VFA
EC:2.8.3.8,K01034,VFA
EC:2.8.3.8,K01035,VFA
EC:2.8.3.8,K19709,VFA
EC:2.3.1.9,K00626,VFA
EC:1.1.1.36,K00023,VFA
EC:4.2.1.55,K17865,VFA
EC:1.1.1.35,K00022,VFA
EC:1.1.1.35,K07516,VFA
EC:1.1.1.35,K01825,VFA
EC:1.1.1.35,K01782,VFA
EC:1.1.1.35,K07514,VFA
EC:1.1.1.157,K00074,VFA
EC:4.2.1.17,K01692,VFA
EC:4.2.1.17,K01825,VFA
EC:4.2.1.17,K01782,VFA
EC:4.2.1.17,K07515,VFA
EC:4.2.1.17,K07514,VFA
EC:4.2.1.17,K07511,VFA
EC:4.2.1.17,K01715,VFA
EC:1.3.1.86,K17829,VFA
EC:1.3.1.44,K00209,VFA
EC:2.3.1.19,K00634,VFA
EC:2.7.2.7,K00929,VFA
EC:1.1.1.37,K00024,VFA
EC:1.1.1.37,K00025,VFA
EC:1.1.1.37,K00026,VFA
EC:1.1.5.4,K00116,VFA
EC:4.2.1.2,K01676,VFA
EC:4.2.1.2,K01677,VFA
EC:4.2.1.2,K01678,VFA
EC:4.2.1.2,K01679,VFA
EC:1.3.5.4,K00239,VFA
EC:1.3.5.4,K00240,VFA
EC:1.3.5.4,K00244,VFA
EC:1.3.5.4,K00245,VFA
"EC:6.2.1.4,EC:6.2.1.5",K01899,VFA
"EC:6.2.1.4,EC:6.2.1.5",K01900,VFA
"EC:6.2.1.4,EC:6.2.1.5",K01902,VFA
"EC:6.2.1.4,EC:6.2.1.5",K01903,VFA
EC:5.4.99.2,K01847,VFA
EC:5.4.99.2,K01848,VFA
EC:5.4.99.2,K01849,VFA
EC:5.1.99.1,K05606,VFA
EC:6.4.1.3,K01965,VFA
EC:6.4.1.3,K01966,VFA
EC:6.4.1.3,K11263,VFA
EC:6.4.1.3,K18472,VFA
EC:6.4.1.3,K19312,VFA
EC:6.4.1.3,K01964,VFA
EC:6.4.1.3,K15037,VFA
EC:6.4.1.3,K15036,VFA
EC:2.8.3.1,K01026,VFA
EC:6.2.1.13,K01905,VFA
EC:6.2.1.13,K22224,VFA
EC:6.2.1.13,K24012,VFA
EC:1.1.1.27,K00016,VFA
EC:1.1.2.3,K00101,VFA
EC:4.2.1.54,K20626,VFA
EC:4.2.1.54,K20627,VFA
EC:1.3.8.1,K00248,VFA
EC:1.3.3.6,K00232,VFA
EC:1.3.1.95,K20143,VFA
EC:6.2.1.1,K01895,VFA
EC:6.2.1.17,K01908,VFA
EC:1.2.7.4,K00196,VFA
EC:1.2.7.4,K00198,VFA
EC:2.3.1.169,K00193,VFA
EC:2.1.1.245,K00194,VFA
EC:2.1.1.245,K00197,VFA
EC:1.17.1.10,K05299,VFA
EC:1.17.1.10,K15022,VFA
EC:1.17.98.-,K22015,VFA
EC:6.3.4.3,K01938,VFA
EC:3.5.4.9,K01491,VFA
EC:3.5.4.9,K01500,VFA
EC:1.5.1.5,K01491,VFA
EC:1.5.1.54,K00297,VFA
EC:2.1.1.258,K15023,VFA
EC:1.2.7.12,K00200,VFA
EC:1.2.7.12,K00201,VFA
EC:1.2.7.12,K00202,VFA
EC:1.2.7.12,K00203,VFA
EC:1.2.7.12,K00204,VFA
EC:1.2.7.12,K00205,VFA
EC:1.2.7.12,K11260,VFA
EC:1.2.7.12,K11261,VFA
EC:2.3.1.101,K00672,VFA
EC:3.5.4.27,K01499,VFA
EC:1.5.98.1,K00319,VFA
EC:1.12.98.2,K13942,VFA
EC:1.5.98.2,K00320,VFA
EC:2.3.1.37,K00643,VB12
EC:4.2.1.24,K01698,VB12
EC:2.5.1.61,K01749,VB12
EC:4.2.1.75,K01719,VB12
EC:2.1.1.107 1.3.1.76 4.99.1.4,K00589,VB12
EC:2.1.1.107 1.3.1.76 4.99.1.4,K02302,VB12
EC:2.1.1.107 1.3.1.76 4.99.1.4,K02303,VB12
EC:2.1.1.107 1.3.1.76 4.99.1.4,K02496,VB12
EC:2.1.1.107 1.3.1.76 4.99.1.4,K13542,VB12
EC:2.1.1.107 1.3.1.76 4.99.1.4,K13543,VB12
EC:4.99.1.3,K02190,VB12
EC:4.99.1.3,K03795,VB12
EC:4.99.1.3,K22011,VB12
EC:2.1.1.130 2.1.1.151,K03394,VB12
EC:3.7.1.12 2.1.1.272 2.1.1.131,K05934,VB12
EC:3.7.1.12 2.1.1.272 2.1.1.131,K13541,VB12
EC:3.7.1.12 2.1.1.272 2.1.1.131,K21479,VB12
EC:2.1.1.133 2.1.1.271,K05936,VB12
EC:3.7.1.12,K02189,VB12
EC:3.7.1.12,K13541,VB12
EC:2.1.1.195,K02188,VB12
EC:1.3.1.54 1.3.1.106,K05895,VB12
EC:2.1.1.196,K02191,VB12
EC:2.1.1.196,K00595,VB12
EC:2.1.1.289,K03399,VB12
EC:2.1.1.289,K00595,VB12
EC:5.4.99.61 5.4.99.60,K06042,VB12
EC:6.3.5.9 6.3.5.11,K02224,VB12
EC:2.5.1.17,K00798,VB12
EC:2.5.1.17,K19221,VB12
EC:6.3.5.10,K02232,VB12
EC:6.3.1.10,K02225,VB12
EC:6.3.1.10,K02227,VB12
EC:2.7.1.156 2.7.7.62,K02231,VB12
EC:2.7.8.26,K02233,VB12
EC:1.13.11.79,K04719,VB12
EC:2.4.2.21,K00768,VB12
EC:3.1.3.73,K02226,VB12
EC:3.1.3.73,K22316,VB12
